book_id,title,ISBN,synopsis,publisher_id,year
52,The Case for Christ,9780310226055,"There's little question that he actually lived. But miracles? Rising from the dead? Some of the stories you hear about him sound like just that - stories. A reasonable person would never believe them, let alone the claim that he's the only way to God! But a reasonable person would also make sure that he or she understood the facts before jumping to conclusions. That's why Lee Strobel - an award-winning legal journalist with a knack for asking tough questions - decided to investigate Jesus for himself. An atheist, Strobel felt certain his findings would bring Christianity's claims about Jesus tumbling down like a house of cards. He was in for the surprise of his life. Join him as he retraces his journey from skepticism to faith. You'll consult expert testimony as you sift through the truths that history, science, psychiatry, literature, and religion reveal. Like Strobel, you'll be amazed at the evidence - how much there is, how strong it is, and what it says. The facts are in. What will your verdict be in The Case for Christ?",44,1998
53,Zealot: The Life and Times of Jesus of Nazareth,9782523470201,"From the internationally bestselling author of No god but God comes a fascinating, provocative, and meticulously researched biography that challenges long-held assumptions about the man we know as Jesus of Nazareth.",10,2013
54,In the Heart of the Sea: The Tragedy of the Whaleship Essex,9780141001821,"""With its huge, scarred head halfway out of the water and its tail beating the ocean into a white-water wake more than forty feet across, the whale approached the ship at twice its original speed - at least six knots. With a tremendous cracking and splintering of oak, it struck the ship just beneath the anchor secured at the cat-head on the port bow...""",32,2001
55,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",9780517223123,"Over 700,000 copies of the original hardcover and paperback editions of this stunningly popular book have been sold. Karen Armstrong's superbly readable exploration of how the three dominant monotheistic religions of the world—Judaism, Christianity, and Islam—have shaped and altered the conception of God is a tour de force. One of Britain's foremost commentators on religious affairs, Armstrong traces the history of how men and women have perceived and experienced God, from the time of Abraham to the present. From classical philosophy and medieval mysticism to the Reformation, the Enlightenment, and the modern age of skepticism, Armstrong performs the near miracle of distilling the intellectual history of monotheism into one compelling volume.",45,2004
56,The Power of Habit: Why We Do What We Do in Life and Business,9781400069286,"A young woman walks into a laboratory. Over the past two years, she has transformed almost every aspect of her life. She has quit smoking, run a marathon, and been promoted at work. The patterns inside her brain, neurologists discover, have fundamentally changed.",10,2012
57,Cleopatra: A Life,9780316001922,"The Pulitzer Prize-winning biographer brings to life the most intriguing woman in the history of the world: Cleopatra, the last queen of Egypt.",46,2010
58,Emotional Intelligence: Why It Can Matter More Than IQ,9780553804911,"The groundbreaking book that redefines what it means to be smart, with a new introduction by the author.",30,2006
59,The Radium Girls: The Dark Story of America’s Shining Women,9781492649359,The incredible true story of the women who fought America's Undark danger,47,2017
60,"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary",9780060839789,"The Professor and the Madman, masterfully researched and eloquently written, is an extraordinary tale of madness, genius, and the incredible obsessions of two remarkable men that led to the making of the Oxford English Dictionary -- and literary history. The compilation of the OED, begun in 1857, was one of the most ambitious projects ever undertaken. As definitions were collected, the overseeing committee, led by Professor James Murray, discovered that one man, Dr. W. C. Minor, had submitted more than ten thousand. When the committee insisted on honoring him, a shocking truth came to light: Dr. Minor, an American Civil War veteran, was also an inmate at an asylum for the criminally insane.",48,2005
61,The Rape of Nanking: The Forgotten Holocaust of World War II,9780140277449,"In December 1937, the Japanese army invaded the ancient city of Nanking, systematically raping, torturing, and murdering more than 300,000 Chinese civilians.",32,1998
62,"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",,"On Winston Churchill's first day as prime minister, Adolf Hitler invaded Holland and Belgium. Poland and Czechoslovakia had already fallen, and the Dunkirk evacuation was just two weeks away. For the next twelve months, Hitler would wage a relentless bombing campaign, killing 45,000 Britons. It was up to Churchill to hold his country together and persuade President Franklin Roosevelt that Britain was a worthy ally--and willing to fight to the end.",31,2020
63,Attached: The New Science of Adult Attachment and How It Can Help You Find—and Keep—Love,9781585428489,Is there a science to love?,49,2010
64,Foundation and Empire,9780553803723,"Foundation and Empire tells the incredible story of a new breed of man who create a new force for galactic government. Thus, the Foundation hurtles into conflict with the decadent, decrepit First Empire. In this struggle for power amid the chaos of the stars, man stands at the threshold of a new, enlightened life which could easily be put aside for the old forces of barbarism. The Foundation novels of Isaac Asimov constitute what is very likely the most famed epic in all of science-fiction",50,2004
65,Ugly Love,,"When Tate Collins meets airline pilot Miles Archer, she knows it isn’t love at first sight. They wouldn’t even go so far as to consider themselves friends. The only thing Tate and Miles have in common is an undeniable mutual attraction. Once their desires are out in the open, they realize they have the perfect set-up. He doesn’t want love, she doesn’t have time for love, so that just leaves the sex. Their arrangement could be surprisingly seamless, as long as Tate can stick to the only two rules Miles has for her.",28,2014
66,"I, Robot",9780553803709,"Isaac Asimov's I, Robot launches readers on an adventure into a not-so-distant future where man and machine , struggle to redefinelife, love, and consciousness—and where the stakes are nothing less than survival. Filled with unforgettable characters, mind-bending speculation, and nonstop action, I, Robot is a powerful reading experience from one of the master storytellers of our time.",51,2004
67,The Titan's Curse,9780141382890,"It's not everyday you find yourself in combat with a half-lion, half-human.",52,2007
68,The Duke and I,9780380800827,Librarian note: See alternate cover editions here and here.,53,2006
69,The Prophet,9780001000391,"Kahlil Gibran’s masterpiece, The Prophet, is one of the most beloved classics of our time. Published in 1923, it has been translated into more than twenty languages, and the American editions alone have sold more than nine million copies.",54,2003
70,Catherine the Great: Portrait of a Woman,9780679456728,"Pulitzer Prize winner Massie offers the tale of a princess who went to Russia at 14 and became one of the most powerful women in history. Born into minor German nobility, she transformed herself into an empress by sheer determination. Possessing a brilliant, curious mind, she devoured the works of Enlightenment philosophers, and reaching the throne, tried using their principles to rule the vast, backward empire. She knew or corresponded with notable figures of her time: Voltaire, Diderot, Frederick the Great, Maria Theresa of Austria, Marie Antoinette & John Paul Jones. Wanting to be the “benevolent despot” Montesquieu idealized, she contended with the deeply ingrained realities of Russian life, including serfdom. She persevered, and for 34 years the government, foreign policy, cultural development and welfare of the Russian people were in her hands. She dealt with domestic rebellion, wars & the tides of political change and violence inspired by the French Revolution. Her reputation depended on the perspective of the speaker. She was praised by Voltaire as like the classical philosophers. She was condemned by enemies, mostly foreign, as “the Messalina of the north.” Her family, friends, ministers, generals, lovers and enemies are vividly described. These included her ambitious, scheming mother; her weak, bullying husband, Peter (who left her sexually untouched for nine years after their marriage); her unhappy son & heir, Paul; her beloved grandchildren; and her favorites—the young men from whom she sought companionship and the recapture of youth as well as sex. Here, too, is Gregory Potemkin, her most significant lover & possible husband, with whom she shared a correspondence of love & separation, followed by 17 years of unparalleled mutual achievement. All the qualities that Massie brought to Nicholas & Alexandra and Peter the Great are present: historical accuracy, deep understanding, felicity of style, mastery of detail, ability to shatter myth & a genius for finding and expressing a human drama.",55,2011
71,Pride and Prejudice,,"Since its immediate success in 1813, Pride and Prejudice has remained one of the most popular novels in the English language. Jane Austen called this brilliant work ""her own darling child"" and its vivacious heroine, Elizabeth Bennet, ""as delightful a creature as ever appeared in print."" The romantic clash between the opinionated Elizabeth and her proud beau, Mr. Darcy, is a splendid performance of civilized sparring. And Jane Austen's radiant wit sparkles as her characters dance a delicate quadrille of flirtation and intrigue, making this book the most superb comedy of manners of Regency England.",11,2000
72,Narrative of the Life of Frederick Douglass,9781580495769,"Born a slave circa 1818 (slaves weren't told when they were born) on a plantation in Maryland, Douglass taught himself to read and write. In 1845, seven years after escaping to the North, he published Narrative, the first of three autobiographies. This book calmly but dramatically recounts the horrors and the accomplishments of his early years—the daily, casual brutality of the white masters; his painful efforts to educate himself; his decision to find freedom or die; and his harrowing but successful escape.",56,2004
73,Neverwhere,9780060557812,"Under the streets of London there's a world most people could never even dream of. A city of monsters and saints, murderers and angels, knights in armour and pale girls in black velvet.",57,2003
74,The Problem of Pain,9780007461264,"For centuries people have been tormented by one question above all: If God is good and all-powerful, why does he allow his creatures to suffer pain? And what of the suffering of animals, who neither deserve pain nor can be improved by it?",58,2012
75,The Immortal Life of Henrietta Lacks,9781400052172,"Her name was Henrietta Lacks, but scientists know her as HeLa. She was a poor Southern tobacco farmer who worked the same land as her enslaved ancestors, yet her cells—taken without her knowledge—became one of the most important tools in medicine. The first “immortal” human cells grown in culture, they are still alive today, though she has been dead for more than sixty years. If you could pile all HeLa cells ever grown onto a scale, they’d weigh more than 50 million metric tons—as much as a hundred Empire State Buildings. HeLa cells were vital for developing the polio vaccine; uncovered secrets of cancer, viruses, and the atom bomb’s effects; helped lead to important advances like in vitro fertilization, cloning, and gene mapping; and have been bought and sold by the billions.",59,2010
76,Ender’s Game,9780812550702,"Andrew ""Ender"" Wiggin thinks he is playing computer simulated war games; he is, in fact, engaged in something far more desperate. The result of genetic experimentation, Ender may be the military genius Earth desperately needs in a war against an alien enemy seeking to destroy all human life. The only way to find out is to throw Ender into ever harsher training, to chip away and find the diamond inside, or destroy him utterly. Ender Wiggin is six years old when it begins. He will grow up fast.",60,2004
77,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",9780307408846,"The time is 1933, the place, Berlin, when William E. Dodd becomes America's first ambassador to Hitler's Germany in a year that proved to be a turning point in history.",31,2011
78,Annihilation,9780374104092,"Area X has been cut off from the rest of the world for decades. Nature has reclaimed the last vestiges of human civilization. The first expedition returned with reports of a pristine, Edenic landscape; the second expedition ended in mass suicide, the third in a hail of gunfire as its members turned on one another. The members of the eleventh expedition returned as shadows of their former selves, and within weeks, all had died of cancer. In Annihilation, the first volume of Jeff VanderMeer's Southern Reach Trilogy, we join the twelfth expedition.",61,2014
79,Long Walk to Freedom,9780316548182,Nelson Mandela is one of the great moral and political leaders of our time: an international hero whose lifelong dedication to the fight against racial oppression in South Africa won him the Nobel Peace Prize and the presidency of his country.,5,1995
80,Angels & Demons,9781416524793,"World-renowned Harvard symbologist Robert Langdon is summoned to a Swiss research facility to analyze a cryptic symbol seared into the chest of a murdered physicist. What he discovers is unimaginable: a deadly vendetta against the Catholic Church by a centuries-old underground organization -- the Illuminati. In a desperate race to save the Vatican from a powerful time bomb, Langdon joins forces in Rome with the beautiful and mysterious scientist Vittoria Vetra. Together they embark on a frantic hunt through sealed crypts, dangerous catacombs, and deserted cathedrals, and into the depths of the most secretive vault on earth...the long-forgotten Illuminati lair.",62,2006
81,Outliers: The Story of Success,9780316017923,"Learn what sets high achievers apart — from Bill Gates to the Beatles — in this #1 bestseller from ""a singular talent"" (New York Times Book Review).",46,2008
82,The War of the Worlds,9780375759239,"When an army of invading Martians lands in England, panic and terror seize the population. As the aliens traverse the country in huge three-legged machines, incinerating all in their path with a heat ray and spreading noxious toxic gases, the people of the Earth must come to terms with the prospect of the end of human civilization and the beginning of Martian rule.",11,2002
83,Graceling,9780152063962,"Katsa has been able to kill a man with her bare hands since she was eight—she’s a Graceling, one of the rare people in her land born with an extreme skill. As niece of the king, she should be able to live a life of privilege, but Graced as she is with killing, she is forced to work as the king’s thug.",63,2008
84,Flow: The Psychology of Optimal Experience,9780060920432,"Psychologist Mihaly Csikszentmihalyi's investigations of ""optimal experience"" have revealed that what makes an experience genuinely satisfying is a state of consciousness called flow. During flow, people typically experience deep enjoyment, creativity, and a total involvement with life. Csikszentmihalyi demonstrates the ways this positive state can be controlled, not just left to chance. Flow: The Psychology of Optimal Experience teaches how, by ordering the information that enters our consciousness, we can discover true happiness, unlock our potential, and greatly improve the quality of our lives.",48,1990
85,A Feast for Crows,9780553582024,"Crows will fight over a dead man's flesh, and kill each other for his eyes.",51,2011
86,Stumbling on Happiness,9781400077427,• Why are lovers quicker to forgive their partners for infidelity than for leaving dirty dishes in the sink?,13,2007
87,The Well of Ascension,9780765316882,"""Description contains spoilers for previous book in the series""",33,2007
88,Siddhartha,,"Herman Hesse's classic novel has delighted, inspired, and influenced generations of readers, writers, and thinkers. In this story of a wealthy Indian Brahmin who casts off a life of privilege to seek spiritual fulfillment. Hesse synthesizes disparate philosophies--Eastern religions, Jungian archetypes, Western individualism--into a unique vision of life as expressed through one man's search for true meaning.",51,1981
89,Misquoting Jesus: The Story Behind Who Changed the Bible and Why,9780060859510,"For almost 1,500 years, the New Testament manuscripts were copied by hand––and mistakes and intentional changes abound in the competing manuscript versions. Religious and biblical scholar Bart Ehrman makes the provocative case that many of our widely held beliefs concerning the divinity of Jesus, the Trinity, and the divine origins of the Bible itself are the results of both intentional and accidental alterations by scribes.",64,2007
90,Second Foundation,9780553803730,"So far the Foundation was safe. But there was a hidden Second Foundation to protect the first. The Mule has yet to find it, but he was getting closer all the time. The men of the Foundation sought it, too, to escape from Mule's mind control. Only Arkady, a 14 year-old girl seemed to have the answer, or did she...?",65,2004
