title,author,genres,synopsis,publisher,year,isbn,cover,url
The Wright Brothers,David McCullough,"['History', 'Biography', 'Nonfiction', 'American History', 'Aviation', 'Audiobook', 'Historical']",Librarian's note: An alternate cover edition can be found here,Simon & Schuster,2015,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1430942575i/22609391.jpg,https://www.goodreads.com/book/show/22609391-the-wright-brothers
Inferno,Dante Alighieri,"['Classics', 'Poetry', 'Fiction', 'Literature', 'Religion', 'Fantasy', 'School']","Of the great poets, Dante is one of the most elusive and therefore one of the most difficult to adequately render into English verse. In the Inferno, Dante not only judges sin but strives to understand it so that the reader can as well. With this major new translation, Anthony Esolen has succeeded brilliantly in marrying sense with sound, poetry with meaning, capturing both the poem’s line-by-line vigor and its allegorically and philosophically exacting structure, yielding an Inferno that will be as popular with general readers as with teachers and students. For, as Dante insists, without a trace of sentimentality or intellectual compromise, even Hell is a work of divine art.",Modern Library,2003,9780812970067,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1520255019i/15645.jpg,https://www.goodreads.com/book/show/15645.Inferno
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,"['Nonfiction', 'History', 'True Crime', 'Crime', 'Historical', 'Mystery', 'Audiobook']","Author Erik Larson imbues the incredible events surrounding the 1893 Chicago World's Fair with such drama that readers may find themselves checking the book's categorization to be sure that 'The Devil in the White City' is not, in fact, a highly imaginative novel. Larson tells the stories of two men: Daniel H. Burnham, the architect responsible for the fair's construction, and H.H. Holmes, a serial killer masquerading as a charming doctor.",Crown Publishers,2003,9780609608449,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1583433024i/397483.jpg,https://www.goodreads.com/book/show/397483.The_Devil_in_the_White_City
Hiroshima,John Hersey,"['History', 'Nonfiction', 'War', 'Classics', 'Japan', 'World War II', 'Historical']","On August 6, 1945, Hiroshima was destroyed by the first atom bomb ever dropped on a city. This book, John Hersey's journalistic masterpiece, tells what happened on that day. Told through the memories of survivors, this timeless, powerful and compassionate document has become a classic ""that stirs the conscience of humanity"" (The New York Times).",Vintage,1989,9780679721031,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1657555929i/27323.jpg,https://www.goodreads.com/book/show/27323.Hiroshima
The Bhagavad Gita,Krishna-Dwaipayana Vyasa,"['Religion', 'Philosophy', 'Classics', 'Spirituality', 'Poetry', 'Nonfiction', 'Hinduism']","The Mahabharata incorporates Bhagavad-Gita, a sacred Hindu text that takes the form of a philosophical dialogue in which Krishna instructs Arjuna, the prince, in ethical matters and the nature of God.",Penguin,2003,9780140449181,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1631634958i/99944.jpg,https://www.goodreads.com/book/show/99944.The_Bhagavad_Gita
The Autobiography of Malcolm X,Malcolm X,"['Nonfiction', 'Biography', 'History', 'Memoir', 'Autobiography', 'Politics', 'Race']",Alternate cover for ISBN 9780345350688,Ballantine Books,2015,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1434682864i/92057.jpg,https://www.goodreads.com/book/show/92057.The_Autobiography_of_Malcolm_X
The Maze Runner,James Dashner,"['Young Adult', 'Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Adventure', 'Mystery']",There are alternate cover editions for this ASIN here and here.,Delacorte Press,2009,9780385737944,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1375596592i/6186357.jpg,https://www.goodreads.com/book/show/6186357-the-maze-runner
The Wise Man's Fear,Patrick Rothfuss,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Magic', 'Science Fiction Fantasy', 'Adventure']","“There are three things all wise men fear: the sea in storm, a night with no moon, and the anger of a gentle man.”",DAW Books,2011,9780756404734,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1452624392i/1215032.jpg,https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear
Steve Jobs,Walter Isaacson,"['Biography', 'Nonfiction', 'Business', 'Technology', 'History', 'Biography Memoir', 'Audiobook']","Walter Isaacson's worldwide bestselling biography of Apple cofounder Steve Jobs. Based on more than forty interviews with Steve Jobs conducted over two years--as well as interviews with more than 100 family members, friends, adversaries, competitors, and colleagues--Walter Isaacson has written a riveting story of the roller-coaster life and searingly intense personality of a creative entrepreneur whose passion for perfection and ferocious drive revolutionized six industries: personal computers, animated movies, music, phones, tablet computing, and digital publishing. Isaacson's portrait touched millions of readers. At a time when America is seeking ways to sustain its innovative edge, Jobs stands as the ultimate icon of inventiveness and applied imagination. He knew that the best way to create value in the twenty-first century was to connect creativity with technology. He built a company where leaps of the imagination were combined with remarkable feats of engineering. Although Jobs cooperated with the author, he asked for no control over what was written. He put nothing off-limits. He encouraged the people he knew to speak honestly. He himself spoke candidly about the people he worked with and competed against. His friends, foes, and colleagues offer an unvarnished view of the passions, perfectionism, obsessions, artistry, devilry, and compulsion for control that shaped his approach to business and the innovative products that resulted. His tale is instructive and cautionary, filled with lessons about innovation, character, leadership, and values. Steve Jobs is the inspiration for the movie of the same name starring Michael Fassbender, Kate Winslet, Seth Rogen, and Jeff Daniels, directed by Danny Boyle with a screenplay by Aaron Sorkin.",Simon & Schuster,2011,9781451648539,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1511288482i/11084145.jpg,https://www.goodreads.com/book/show/11084145-steve-jobs
Benjamin Franklin: An American Life,Walter Isaacson,"['Biography', 'History', 'Nonfiction', 'American History', 'Biography Memoir', 'Politics', 'American Revolution']","Benjamin Franklin is the Founding Father who winks at us. An ambitious urban entrepreneur who rose up the social ladder, from leather-aproned shopkeeper to dining with kings, he seems made of flesh rather than of marble. In bestselling author Walter Isaacson's vivid and witty full-scale biography, we discover why Franklin seems to turn to us from history's stage with eyes that twinkle from behind his new-fangled spectacles. By bringing Franklin to life, Isaacson shows how he helped to define both his own time and ours.",Simon & Schuster,2004,9780743258074,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630510455i/10883.jpg,https://www.goodreads.com/book/show/10883.Benjamin_Franklin
"Memories, Dreams, Reflections",C.G. Jung,"['Psychology', 'Nonfiction', 'Philosophy', 'Biography', 'Memoir', 'Spirituality', 'Autobiography']","In the spring of 1957, when he was eighty-one years old, C. G. Jung undertook the telling of his life story. At regular intervals he had conversations with his colleague and friend Aniela Jaffé, and collaborated with her in the preparation of the text based on these talks. On occasion, he was moved to write entire chapters of the book in his own hand, and he continued to work on the final stages of the manuscript until shortly before his death on June 6, 1961.This edition of Memories, Dreams, Reflections includes Jung's VII Sermones ad Mortuos. It is a fully corrected edition. From the Trade Paperback edition.",Vintage,1989,9780679723950,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348081175i/612188.jpg,https://www.goodreads.com/book/show/612188.Memories_Dreams_Reflections
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,"['Nonfiction', 'History', 'Sports', 'Biography', 'Audiobook', 'Historical', 'Book Club']","For readers of Laura Hillenbrand's Seabiscuit and Unbroken, the dramatic story of the American rowing team that stunned the world at Hitler's 1936 Berlin Olympics.",Viking,2013,9780670025817,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1354683116i/16158542.jpg,https://www.goodreads.com/book/show/16158542-the-boys-in-the-boat
One Last Stop,Casey McQuiston,"['Romance', 'LGBT', 'Queer', 'Contemporary', 'Fiction', 'Lesbian', 'Audiobook']",A new romantic comedy that will stop readers in their tracks...,Griffin,2021,9781250244499,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1598019346i/54860443.jpg,https://www.goodreads.com/book/show/54860443-one-last-stop
Six of Crows,Leigh Bardugo,"['Fantasy', 'Young Adult', 'Fiction', 'Young Adult Fantasy', 'Romance', 'LGBT', 'Adventure']",Alternate cover edition of ISBN 9781627792127 which can be found here:,Henry Holt & Company,2015,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1651710803i/23437156.jpg,https://www.goodreads.com/book/show/23437156-six-of-crows
The Pilgrim's Progress,John Bunyan,"['Classics', 'Fiction', 'Christian', 'Religion', 'Christian Fiction', 'Christianity', 'Theology']","This famous story of man's progress through life in search of salvation remains one of the most entertaining allegories of faith ever written. Set against realistic backdrops of town and country, the powerful drama of the pilgrim's trials and temptations follows him in his harrowing journey to the Celestial City.",Dover Publications,2003,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1405982367i/29797.jpg,https://www.goodreads.com/book/show/29797.The_Pilgrim_s_Progress
The Decline and Fall of the Roman Empire,Edward Gibbon,"['History', 'Nonfiction', 'Classics', 'Ancient History', 'Historical', 'Politics', 'World History']",The History of the Decline and Fall of the Roman Empire (sometimes shortened to Fall of the Roman Empire) is a book of history written by the English historian Edward Gibbon. It traces the trajectory of Western civilization (as well as the Islamic and Mongolian conquests) from the height of the Roman Empire to the fall of Byzantium.,Modern Library,2003,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1435759367i/19400.jpg,https://www.goodreads.com/book/show/19400.The_Decline_and_Fall_of_the_Roman_Empire
Heir of Fire,Sarah J. Maas,"['Fantasy', 'Young Adult', 'Romance', 'Magic', 'Fae', 'Fiction', 'Young Adult Fantasy']","Celaena has survived deadly contests and shattering heartbreak-but at an unspeakable cost. Now, she must travel to a new land to confront her darkest truth . . . a truth about her heritage that could change her life-and her future-forever. Meanwhile, brutal and monstrous forces are gathering on the horizon, intent on enslaving her world. Will Celaena find the strength to not only fight her inner demons, but to take on the evil that is about to be unleashed?",Bloomsbury USA Childrens,2023,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1673566654i/76706470.jpg,https://www.goodreads.com/book/show/76706470-heir-of-fire
Endurance: Shackleton's Incredible Voyage,Alfred Lansing,"['Nonfiction', 'History', 'Adventure', 'Biography', 'Audiobook', 'Travel', 'Survival']","The harrowing tale of British explorer Ernest Shackleton's 1914 attempt to reach the South Pole, one of the greatest adventure stories of the modern age.",Carroll & Graf Publishers,1999,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1391329559i/139069.jpg,https://www.goodreads.com/book/show/139069.Endurance
Beach Read,Emily Henry,"['Romance', 'Contemporary', 'Fiction', 'Contemporary Romance', 'Adult', 'Chick Lit', 'Audiobook']",A romance writer who no longer believes in love and a literary writer stuck in a rut engage in a summer-long challenge that may just upend everything they believe about happily ever afters.,Berkley,2020,9781984806734,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1589881197i/52867387.jpg,https://www.goodreads.com/book/show/52867387-beach-read
The Great Divorce,C.S. Lewis,"['Christian', 'Fiction', 'Religion', 'Classics', 'Theology', 'Christianity', 'Fantasy']",Alternative cover for ISBN: 978-0-00-746123-3,HarperCollins,2015,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1435968645i/25845273.jpg,https://www.goodreads.com/book/show/25845273-the-great-divorce
Fifty Shades Darker,E.L. James,"['Romance', 'Fiction', 'Erotica', 'BDSM', 'Adult', 'Contemporary', 'Contemporary Romance']","Daunted by the singular sexual tastes and dark secrets of the beautiful, tormented young entrepreneur Christian Grey, Anastasia Steele has broken off their relationship to start a new career with a Seattle publishing house. But desire for Christian still dominates her every waking thought, and when he proposes a new arrangement, Anastasia cannot resist. They rekindle their searing sensual affair, and Anastasia learns more about the harrowing past of her damaged, driven, and demanding Fifty Shades. While Christian wrestles with his inner demons, Anastasia must confront her anger and envy of the women who came before her and make the most important decision of her life. Erotic, sparkling and suspenseful, Fifty Shades Darker is the irresistibly addictive second part of the Fifty Shades trilogy.",The Writer's Coffee Shop Publishing House,2011,9781612130583,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1631260114i/11857408.jpg,https://www.goodreads.com/book/show/11857408-fifty-shades-darker
1491: New Revelations of the Americas Before Columbus,Charles C. Mann,"['History', 'Nonfiction', 'American History', 'Anthropology', 'Science', 'Historical', 'World History']","In this groundbreaking work of science, history, and archaeology, Charles C. Mann radically alters our understanding of the Americas before the arrival of Columbus in 1492.",Vintage,2006,9781400032051,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1545238592i/39020.jpg,https://www.goodreads.com/book/show/39020.1491
The Handmaid’s Tale,Margaret Atwood,"['Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Feminism', 'Fantasy', 'Adult']","Offred is a Handmaid in the Republic of Gilead. She may leave the home of the Commander and his wife once a day to walk to food markets whose signs are now pictures instead of words because women are no longer allowed to read. She must lie on her back once a month and pray that the Commander makes her pregnant, because in an age of declining births, Offred and the other Handmaids are valued only if their ovaries are viable. Offred can remember the years before, when she lived and made love with her husband, Luke; when she played with and protected her daughter; when she had a job, money of her own, and access to knowledge. But all of that is gone now…",Anchor Books,1998,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1578028274i/38447.jpg,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
"Get a Life, Chloe Brown",Talia Hibbert,"['Romance', 'Contemporary', 'Fiction', 'Adult', 'Contemporary Romance', 'Audiobook', 'Chick Lit']","Chloe Brown is a chronically ill computer geek with a goal, a plan, and a list. After almost—but not quite—dying, she’s come up with six directives to help her “Get a Life”, and she’s already completed the first: finally moving out of her glamourous family’s mansion. The next items?",Avon,2019,9780062941206,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1614273529i/43884209.jpg,https://www.goodreads.com/book/show/43884209-get-a-life-chloe-brown
It Ends with Us,Colleen Hoover,"['Romance', 'Fiction', 'Contemporary', 'New Adult', 'Audiobook', 'Contemporary Romance', 'Adult']",Sometimes it is the one who loves you who hurts you the most.,Atria Books,2016,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1688011813i/27362503.jpg,https://www.goodreads.com/book/show/27362503-it-ends-with-us
Genghis Khan and the Making of the Modern World,Jack Weatherford,"['History', 'Nonfiction', 'Biography', 'Asia', 'Historical', 'World History', 'Audiobook']","The name Genghis Khan often conjures the image of a relentless, bloodthirsty barbarian on horseback leading a ruthless band of nomadic warriors in the looting of the civilized world. But the surprising truth is that Genghis Khan was a visionary leader whose conquests joined backward Europe with the flourishing cultures of Asia to trigger a global awakening, an unprecedented explosion of technologies, trade, and ideas. In Genghis Khan and the Making of the Modern World, Jack Weatherford, the only Western scholar ever to be allowed into the Mongols’ “Great Taboo”—Genghis Khan’s homeland and forbidden burial site—tracks the astonishing story of Genghis Khan and his descendants, and their conquest and transformation of the world.",Broadway Books,2018,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1530716694i/40718726.jpg,https://www.goodreads.com/book/show/40718726-genghis-khan-and-the-making-of-the-modern-world
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,"['Nonfiction', 'Biography', 'History', 'Christian', 'Memoir', 'Classics', 'Holocaust']","At one time Corrie ten Boom would have laughed at the idea that there would ever be a story to tell. For the first fifty years of her life nothing at all out of the ordinary had ever happened to her. She was an old-maid watchmaker living contentedly with her spinster sister and their elderly father in the tiny Dutch house over their shop. Their uneventful days, as regulated as their own watches, revolved around their abiding love for one another. However, with the Nazi invasion and occupation of Holland, a story did ensue.",Bantam,1974,9780553256697,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320418824i/561909.jpg,https://www.goodreads.com/book/show/561909.The_Hiding_Place
Artemis,Andy Weir,"['Science Fiction', 'Fiction', 'Audiobook', 'Space', 'Science Fiction Fantasy', 'Adult', 'Fantasy']",Jazz Bashara is a criminal.,Crown,2017,9780553448122,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1494273579i/34928122.jpg,https://www.goodreads.com/book/show/34928122-artemis
Alexander Hamilton,Ron Chernow,"['History', 'Biography', 'Nonfiction', 'American History', 'Politics', 'Audiobook', 'Historical']",An alternate cover edition can be found here.,Penguin Books,2005,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1436131915i/16130.jpg,https://www.goodreads.com/book/show/16130.Alexander_Hamilton
Old Man's War,John Scalzi,"['Science Fiction', 'Fiction', 'Space Opera', 'War', 'Science Fiction Fantasy', 'Military Fiction', 'Space']",John Perry did two things on his 75th birthday. First he visited his wife's grave. Then he joined the army.,Tor Books,2007,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1509467059i/36510196.jpg,https://www.goodreads.com/book/show/36510196-old-man-s-war
The Golden Compass,Philip Pullman,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Adventure', 'Middle Grade', 'Science Fiction']","Lyra is rushing to the cold, far North, where witch clans and armored bears rule. North, where the Gobblers take the children they steal--including her friend Roger. North, where her fearsome uncle Asriel is trying to build a bridge to a parallel world.",Knopf,1996,9780679879244,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1505766203i/119322.jpg,https://www.goodreads.com/book/show/119322.The_Golden_Compass
Menti tribali: Perché le brave persone di dividono su politica e religione,Jonathan Haidt,"['Nonfiction', 'Psychology', 'Politics', 'Philosophy', 'Religion', 'Science', 'Sociology']","Una suggestiva indagine dei meccanismi profondi che regolano la nostra esistenza, le decisioni che prendiamo e i valori che condividiamo o che rifiutiamo. Da vent’anni, lo psicologo morale e filosofo Jonathan Haidt indaga i meccanismi profondi che regolano la nostra esistenza, le decisioni che prendiamo, i valori che crediamo universali, che condividiamo o che rifiutiamo. Secondo Haidt il giudizio morale è la bussola che, dalle piccole scelte quotidiane ai grandi temi della politica e della religione, orienta la tendenza naturale dell’uomo a riunirsi in tribù e a dividersi su ciò che si ritiene essere giusto o sbagliato. Arrivato ai vertici della classifica del “New York Times”, Menti tribali è un libro che propone una via alla convivenza e al dialogo, partendo dalla comprensione dei processi biologici ancestrali da cui nasce la nostra ricerca del bene.",Codice Edizioni,2021,9788875789701,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1680445605i/124939807.jpg,https://www.goodreads.com/book/show/124939807-menti-tribali
God Is Not Great: How Religion Poisons Everything,Christopher Hitchens,"['Nonfiction', 'Religion', 'Philosophy', 'Atheism', 'Science', 'History', 'Politics']","God Is Not Great makes the ultimate case against religion. In a series of acute readings of the major religious texts, Christopher Hitchens demonstrates the ways in which religion is man-made, dangerously sexually repressive, and distorts the very origins of the cosmos. Above all, Hitchens argues that the concept of an omniscient God has profoundly damaged humanity, and proposes that the world might be a great deal better off without ""him.""",Twelve Books,2007,9780446579803,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1411218313i/43369.jpg,https://www.goodreads.com/book/show/43369.God_Is_Not_Great
"King Leopold's Ghost: A Story of Greed, Terror, and Heroism in Colonial Africa",Adam Hochschild,"['History', 'Nonfiction', 'Africa', 'Biography', 'Politics', 'Historical', 'World History']","In the 1880s, as the European powers were carving up Africa, King Leopold II of Belgium seized for himself the vast and mostly unexplored territory surrounding the Congo River. Carrying out a genocidal plundering of the Congo, he looted its rubber, brutalized its people, and ultimately slashed its population by ten million--all the while shrewdly cultivating his reputation as a great humanitarian. Heroic efforts to expose these crimes eventually led to the first great human rights movement of the twentieth century, in which everyone from Mark Twain to the Archbishop of Canterbury participated. King Leopold's Ghost is the haunting account of a megalomaniac of monstrous proportions, a man as cunning, charming, and cruel as any of the great Shakespearean villains. It is also the deeply moving portrait of those who fought Leopold: a brave handful of missionaries, travelers, and young idealists who went to Africa for work or adventure and unexpectedly found themselves witnesses to a holocaust. Adam Hochschild brings this largely untold story alive with the wit and skill of a Barbara Tuchman. Like her, he knows that history often provides a far richer cast of characters than any novelist could invent. Chief among them is Edmund Morel, a young British shipping agent who went on to lead the international crusade against Leopold. Another hero of this tale, the Irish patriot Roger Casement, ended his life on a London gallows. Two courageous black Americans, George Washington Williams and William Sheppard, risked much to bring evidence of the Congo atrocities to the outside world. Sailing into the middle of the story was a young Congo River steamboat officer named Joseph Conrad. And looming above them all, the duplicitous billionaire King Leopold II. With great power and compassion, will brand the tragedy of the Congo--too long forgotten--onto the conscience of the West",Mariner Books,1999,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1532716127i/40961621.jpg,https://www.goodreads.com/book/show/40961621-king-leopold-s-ghost
Mindset: The New Psychology of Success,Carol S. Dweck,"['Psychology', 'Nonfiction', 'Self Help', 'Business', 'Personal Development', 'Education', 'Leadership']",A newer edition of this book can be found here.,Random House,2006,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1436227012i/40745.jpg,https://www.goodreads.com/book/show/40745.Mindset
All Systems Red,Martha Wells,"['Science Fiction', 'Fiction', 'Novella', 'Adult', 'Fantasy', 'Science Fiction Fantasy', 'Space']","""As a heartless killing machine, I was a complete failure.""",Tor.com,2017,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1631585309i/32758901.jpg,https://www.goodreads.com/book/show/32758901-all-systems-red
Dune,Frank Herbert,"['Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Audiobook', 'Novels']","Set on the desert planet Arrakis, Dune is the story of the boy Paul Atreides, heir to a noble family tasked with ruling an inhospitable world where the only thing of value is the “spice” melange, a drug capable of extending life and enhancing consciousness. Coveted across the known universe, melange is a prize worth killing for...",Ace,2019,9780593099322,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1555447414i/44767458.jpg,https://www.goodreads.com/book/show/44767458-dune
